wdid,name,icrsra,icrsdec,spectype,teff,logg,Dpc,V,su
Gaia DR2 1797472370615364992,Gaia EDR3 1797472370615364992,21 33 43.62,24 14 54.75,DA,6315.18149,8.378516,35.05,,18.121
WD 0655-390,Gaia EDR3 5564171814627287296,06 57 05.50,-39 09 38.08,DA,6310.0,8.01,16.51,15.11,
GJ 1234,Gaia EDR3 2052891361294411520,19 18 58.67,38 43 17.45,DC,6298.99971,8.174084,11.87,14.59,15.422
GJ 2152,Gaia EDR3 1739921801713625600,21 13 29.27,07 27 06.07,DA,6289.27737,7.912154,29.38,16.12,17.03
Gaia DR2 1647162396588999552,Gaia EDR3 1647162396588999552,16 06 06.27,70 22 26.51,DA,6286.72597,7.969628,35.85,,
WD 0628-020,Gaia EDR3 3117320802840630400,06 30 38.48,-02 05 53.24,DA,6283.0,7.777,21.40,15.36,
Gaia DR2 4268167357267580160,Gaia EDR3 4268167357267580160,19 12 45.86,02 42 32.22,DZ,6280.17628,8.106792,31.82,,
GJ 3001,Gaia EDR3 2312821266302222720,00 02 40.29,-34 13 51.79,DC,6280.0,8.18,14.81,15.03,
LP 349-41,Gaia EDR3 2807462655009880320,00 33 25.85,25 06 16.30,DA,6278.0,8.017,38.31,,17.88
WD 1436-781,Gaia EDR3 5785654859950570496,14 42 49.33,-78 23 53.22,DA,6271.0,8.06,23.99,16.11,
WD 0253-755,Gaia EDR3 4640029027306103296,02 52 47.54,-75 22 40.92,DC,6235.0,,31.20,16.7,
WD 0121-429,Gaia EDR3 4983839647522981504,01 24 04.42,-42 40 46.82,DAH,6230.0,7.64,18.45,14.83,
LP 213-79,Gaia EDR3 776762672481353984,10 52 11.47,40 50 01.20,DC,6212.76405,8.10542,33.90,,17.68
Gaia DR2 4252064631569619712,Gaia EDR3 4252064631569619712,18 49 07.44,-07 36 20.33,DC,6190.0,8.15,35.12,,
Gaia DR2 2582335342824976768,Gaia EDR3 2582335342824976768,00 55 03.61,10 10 04.79,DA,6186.82552,8.016777,26.57,16.12,17.095
GD 353,Gaia EDR3 1403348682426861568,15 55 33.82,50 25 47.65,DA,6186.0,8.061,30.53,,17.528
EGGR 531,Gaia EDR3 676031052142751488,08 16 41.92,21 37 29.53,DA,6167.0,7.973,39.35,17.02,17.952
LP 212-60,Gaia EDR3 755877620910173696,10 22 51.15,39 04 11.71,DZ,6163.32904,8.289778,39.12,,18.81
LP 374-46,Gaia EDR3 3978862277154958592,11 25 21.09,21 11 09.98,DC,6143.93734,8.02425,38.14,,17.88
LP 776-52,Gaia EDR3 2976789094955826560,05 05 32.31,-17 31 41.89,DA,6140.0,8.179,38.45,17.194,
2MASS J19131653+2949275,Gaia EDR3 2039140284770609152,19 13 16.49,29 49 32.87,DA,6134.89114,8.120674,37.08,,
GJ 3285,Gaia EDR3 3307009304776119936,04 25 53.63,12 11 44.59,DC,6128.57403,8.201555,16.03,15.42,
WD 1647-327,Gaia EDR3 6027138331058857088,16 50 44.21,-32 49 30.89,DA8.5,6120.0,7.92,27.12,16.21,
WD J2214-390,Gaia EDR3 6573778541262656256,22 14 36.14,-38 59 13.16,DA,6120.0,8.33,18.16,15.91,
WD 1722+279,Gaia EDR3 4598266758185956864,17 24 13.37,27 56 54.35,DA,6115.0,8.302,38.56,,18.49976
WD 1633+572,Gaia EDR3 1431176943768691328,16 34 19.37,57 10 28.06,DQ,6106.81847,8.01571,14.85,15.004,
LP 244-8,Gaia EDR3 318528007466920192,01 48 40.44,36 15 27.28,DA,6105.88157,8.067063,35.19,16.76,
PM J11480-4523,Gaia EDR3 5377849123945711872,11 48 02.44,-45 23 07.67,DA,6101.0,7.99,25.12,15.66,
NLTT 42805,Gaia EDR3 1201036206454896000,16 26 26.14,19 38 42.75,DA,6096.25937,8.239195,27.57,,17.61
GJ 1086,Gaia EDR3 3218697767783768320,05 51 19.60,-00 10 17.48,DQ,6080.0,8.146,11.22,14.6,15.605
Gaia DR2 6178524211524592640,Gaia EDR3 6178524211524592640,13 55 09.71,-26 22 50.32,DA,6080.0,8.06,32.53,16.71,
LSPM J0939+4951,Gaia EDR3 826275295988399232,09 39 31.09,49 51 48.07,DA,6072.0,8.391,34.15,,18.45
LP 659-7,Gaia EDR3 3024247796382652800,05 59 00.94,-04 14 30.95,DA,6070.0,8.086,38.04,17.0,
WD 0920+012,Gaia EDR3 3843957354387777152,09 22 56.03,01 03 05.69,DAZ,6068.0,7.981,32.36,16.59,17.664
Gaia DR2 4146666271458052352,Gaia EDR3 4146666271458052352,18 17 45.81,-13 35 26.65,DA,6050.0,8.38,32.53,,
Gaia DR2 3750749378584132992,Gaia EDR3 3750749378584132992,10 30 55.45,-14 23 59.48,DA,6040.0,8.21,27.66,,
LP 645-70,Gaia EDR3 2522401586766106624,00 40 56.31,-08 09 14.80,DA,6040.0,8.266,37.43,,18.44689
Gaia DR2 2690697646876721152,Gaia EDR3 2690697646876721152,21 06 46.87,01 06 33.47,DA,6029.68364,7.943236,38.48,,17.983
G 250-27,Gaia EDR3 1100267237077449728,06 53 50.11,63 55 51.68,DA,6027.34649,8.036768,27.80,16.28,
PM J23462+1158,Gaia EDR3 2763719512612656000,23 46 12.37,11 58 48.63,DC,6027.16367,8.213799,36.29,,18.271
Gaia DR2 3129655296079487872,Gaia EDR3 3129655296079487872,06 57 29.29,05 50 47.42,DC,6018.50367,8.207432,39.00,,18.513
NLTT 35504,Gaia EDR3 3727155340815968256,13 52 11.52,10 53 48.82,DA,6017.0,7.992,35.35,,17.92
LP 714-52,Gaia EDR3 3191738120628213760,04 19 20.95,-09 34 30.82,DAP,6015.0,8.35,36.66,17.417,
LP 775-37,Gaia EDR3 3173236054352419072,04 41 05.15,-15 19 01.02,DA,6005.0,8.015,37.08,16.83,
G 261-43B,G261-43B,,,DC,6000.0,8.39,21.23,12.88,
Gaia DR2 4359722208685335552,Gaia EDR3 4359722208685335552,17 16 20.34,-08 21 16.98,DQ,6000.0,7.86,38.46,,
2MASS J22415762+1332390,Gaia EDR3 2731866347221858432,22 41 57.70,13 32 32.81,DA,5992.0,8.258,35.69,,18.43482
WD 2059+247,Gaia EDR3 1841254644460354688,21 02 12.41,24 57 40.13,DA,5983.24001,8.128747,28.03,16.57,17.608
GJ 3565,Gaia EDR3 3820383996887145088,09 43 46.56,-07 03 55.64,DA,5975.0,7.955,28.76,16.43,
Gaia DR2 4150020774057837440,Gaia EDR3 4150020774057837440,17 46 20.40,-12 34 26.58,DA,5970.0,8.24,37.07,,
Gaia DR2 4598775557191664384,Gaia EDR3 4598775557191664384,17 33 37.20,29 03 40.55,DC,5969.0,7.955,39.57,,18.016
PM J10403+1004,Gaia EDR3 3870354528331257984,10 40 19.59,10 03 58.89,DC,5959.87756,8.114001,36.88,,18.19
WD 1703+261,Gaia EDR3 4573071139998034048,17 05 52.54,26 05 46.67,DA,5947.53105,8.20408,34.67,,18.263
Gaia DR2 3585097235918075776,Gaia EDR3 3585097235918075776,11 38 40.77,-13 13 36.69,DC,5940.0,8.15,26.85,,
WD 1009-184,J1012-1843,10 12 01.87,-18 43 33.27,DZ,5938.0,8.0472,18.0914,15.44,
Gaia DR2 2185261016407220224,Gaia EDR3 2185261016407220224,20 21 57.94,54 54 42.36,DC,5937.12358,8.180229,37.96,,
WD 1540+236,Gaia EDR3 1218051664291152000,15 42 34.69,23 29 35.03,DA,5937.0,8.215,27.79,,17.899
EGGR 581,Gaia EDR3 6831993452567326592,21 10 50.13,-21 29 31.45,DA,5935.0,8.057,31.86,16.8,
GJ 2135,Gaia EDR3 4152557420406043264,18 24 04.32,-13 08 52.52,DAZ,5930.0,7.97,19.06,15.56,
Gaia DR2 2064689567732385792,Gaia EDR3 2064689567732385792,20 33 21.91,39 54 08.14,DA,5927.51562,8.388378,20.75,16.35,17.503
LP 154-64,Gaia EDR3 439494077735062144,02 56 17.25,49 54 38.88,DA,5923.6132,8.109912,37.72,17.1,
2MASS J06214164-4016187,Gaia EDR3 5573532025833121408,06 21 41.77,-40 16 24.55,DZ,5919.0,8.0,23.68,16.2,
GJ 4365,Gaia EDR3 2867032958053059200,23 49 54.96,29 33 56.00,DA,5917.0,7.932,20.95,15.72,16.877
Gaia DR2 197048460976343168,Gaia EDR3 197048460976343168,05 39 16.67,43 52 28.92,DC,5910.36503,8.139085,39.32,,
SDSS J131730.85+483332.8,Gaia EDR3 1556005701461744640,13 17 30.75,48 33 31.24,DA,5903.0,8.042,39.01,,18.422
WD 0658-075,Gaia EDR3 3052418589963163264,07 00 41.74,-07 34 16.38,DC,5900.0,8.0,25.33,16.73,
WD 0840+243,Gaia EDR3 690287663506579328,08 42 57.49,24 09 30.03,DA,5888.0,8.008,37.99,,18.36
Gaia DR2 4293873732939569920,Gaia EDR3 4293873732939569920,19 21 26.90,06 13 21.58,DA,5882.66177,8.136326,18.15,15.47,
LP 581-35,Gaia EDR3 2711324446359728384,22 55 56.09,05 45 18.36,DA,5881.0,7.962,24.80,15.71,17.368
LP 832-30,Gaia EDR3 5088251195844051328,03 36 34.36,-22 15 27.64,DAZ,5860.0,7.949,38.46,17.16,
EGGR 342,Gaia EDR3 1100655330324351616,06 53 26.36,64 03 35.67,DA,5857.66104,8.103207,27.90,16.65,
GJ 3016,Gaia EDR3 2418116963320446720,00 14 12.19,-13 11 12.53,DAH,5855.0,8.217,18.56,15.87,
LP 426-17,Gaia EDR3 611645983387812992,08 51 40.04,16 24 51.95,DC,5854.27633,8.009362,30.86,,17.92
2MASS J06023672+0904237,Gaia EDR3 3329569015639064192,06 02 36.82,09 04 19.67,DA,5848.68601,7.898708,37.30,,
BD-18 3019B,Gaia EDR3 3554395813252626048,10 45 36.93,-19 06 54.69,DQpec,5832.0,7.863,18.80,15.52,
2MASS J20124874-4659024,Gaia EDR3 6672244029484054272,20 12 49.05,-46 59 05.84,DA8.5,5827.0,,27.76,,
Gaia DR2 1042071701528617728,Gaia EDR3 1042071701528617728,08 45 16.88,61 17 03.79,DAH,5821.5467,8.085139,34.98,,18.278
WD 1316-215,Gaia EDR3 3506061587037686144,13 19 24.74,-21 48 02.24,DA,5815.0,8.588,19.76,16.67,
2MASS J11182722-4721570,Gaia EDR3 5374565879145559424,11 18 26.68,-47 21 56.41,DC,5810.0,8.02,17.04,15.52,
WD 0123-460,Gaia EDR3 4934162784467241472,01 25 18.83,-45 45 40.04,DA,5810.0,8.1,21.64,16.3,
SDSS J083123.38+333148.6,Gaia EDR3 710947968027922176,08 31 23.44,33 31 46.64,DA,5809.0,8.105,39.89,,18.73
GJ 3392,Gaia EDR3 3324181683539044224,06 20 48.33,06 45 16.91,DA,5806.45229,8.129185,24.02,16.37,17.576
WD 2008-799,Gaia EDR3 6361559602963567744,20 16 51.75,-79 45 57.49,DA,5800.0,7.97,24.15,16.35,
GJ 3710,Gaia EDR3 1575357587146077056,12 11 30.09,57 24 11.34,DAZ,5797.73619,7.972117,19.97,15.79,16.953
Gaia DR2 4240231824768647040,Gaia EDR3 4240231824768647040,19 50 03.68,00 33 59.30,DA,5797.24789,7.928674,35.88,,
WD 1409-184,Gaia EDR3 6296317052576778240,14 12 20.50,-18 42 43.49,DC,5794.0,8.129,33.27,,
WD 1653+385,Gaia EDR3 1351956512512484480,16 54 45.71,38 29 31.40,DAZ,5792.0,8.178,27.3,15.86,17.987
WD 1532+12,Gaia EDR3 1193520666521113344,15 35 05.63,12 47 42.32,DZP,5788.13399,7.986987,19.25,15.7,18.043
V* V1201 Ori,LHS 212,05 56 25.44,05 21 46.80,DAP,5785.0,8.22,7.99,14.105,
Gaia DR2 2683452758602312192,Gaia EDR3 2683452758602312192,22 02 53.83,02 37 38.40,DA,5747.01671,8.198346,29.97,,18.242
WD 1146-290,Gaia EDR3 3480776843983381632,11 49 04.76,-29 21 48.67,DA,5745.0,8.363,31.00,17.3,
WD 0228+079,Gaia EDR3 19693180966870656,02 31 15.16,08 10 18.86,DC,5722.26837,7.987491,38.91,,
WD 1027-261,Gaia EDR3 5469171261208778240,10 29 57.65,-26 24 08.37,DA,5721.0,7.992,34.19,17.05,
Gaia DR2 1875301369907249024,Gaia EDR3 1875301369907249024,22 30 59.25,22 54 54.31,DC,5720.47646,8.188435,30.99,,18.215
LP 775-28,Gaia EDR3 2978374522004181888,04 32 00.40,-19 20 54.05,DA,5720.0,8.018,33.96,16.97,
2MASS J02494417+3307251,Gaia EDR3 139623068897753856,02 49 44.43,33 07 29.83,DA,5715.0,7.994,35.71,,18.47
Gaia DR2 3326650224581677312,Gaia EDR3 3326650224581677312,06 44 00.51,09 26 04.23,DC,5704.0,7.793,30.04,,17.529
Gaia DR2 4341495230772911616,Gaia EDR3 4341495230772911616,16 07 00.60,-14 04 23.68,DAH,5700.0,8.05,27.51,,
Gaia DR2 1066726497434084864,Gaia EDR3 1066726497434084864,09 54 46.83,67 02 05.53,DA,5699.7806,8.201954,25.50,,18.002
WD 0724+146,Gaia EDR3 3166841329084630784,07 27 04.31,14 34 38.54,DA,5691.0,7.989,31.19,,18.2
WD 0304-074,Gaia EDR3 5179920984941752448,03 07 13.69,-07 15 13.46,DA,5690.0,8.362,30.40,17.35,18.71482
LSR J0541+3959,Gaia EDR3 190998058945380608,05 41 04.33,39 59 39.02,DA,5688.16087,8.162846,36.39,,
Gaia DR2 54253618862057728,Gaia EDR3 54253618862057728,03 26 31.66,15 57 17.10,DA,5680.62186,8.178924,38.59,,
NLTT 49358,Gaia EDR3 2302010356492847744,20 22 20.53,83 33 58.18,DC,5680.52568,7.999984,38.71,,
WD 1547+572,Gaia EDR3 1598771000065137536,15 48 35.47,57 08 24.21,DC,5665.70998,8.123155,37.92,,18.569
Gaia DR2 1040160612880069888,Gaia EDR3 1040160612880069888,09 13 53.94,62 05 58.49,DA,5647.29447,8.061719,31.38,,18.299
Wolf 457,Gaia EDR3 3704392873141718912,13 00 08.59,03 28 27.21,DA,5632.34887,8.189577,16.50,15.83,17.191
LAWD 26,Gaia EDR3 5273943488410008832,07 53 12.28,-67 47 55.22,DA,5620.0,7.96,8.17,13.96,
WD 1315-781,Gaia EDR3 5787859896160384384,13 19 27.15,-78 23 33.87,DC,5619.0,8.17,19.28,16.15,
NLTT 301,Gaia EDR3 2875903332533220992,00 07 28.93,34 03 42.88,DC,5616.9639,8.184531,34.02,,18.573
GJ 1275,Gaia EDR3 1884744525522874880,22 51 24.56,29 39 46.65,DA,5612.64919,7.71443,19.98,15.55,16.80635
WD 0236+259,Gaia EDR3 126342377182577408,02 39 20.06,26 09 54.69,DA,5605.0,8.03,20.86,16.29,17.548
NLTT 45205,Gaia EDR3 1706631093589103872,17 33 36.63,79 49 15.76,DC,5603.45417,8.302722,26.83,,
WD 1408+029,Gaia EDR3 3667514634669861120,14 10 39.94,02 45 09.18,DAZ,5597.0,7.991,27.71,,18.05
WD 1630+089,Gaia EDR3 4440264291578812928,16 32 33.47,08 51 18.53,DA,5595.88112,8.015485,12.93,15.08,16.44
WD 1656-062,Gaia EDR3 4340322876499078400,16 58 47.39,-06 17 11.00,DA,5587.0,8.099,31.81,17.14,18.589
WD 1605+345,Gaia EDR3 1323922779935068160,16 07 14.22,34 23 42.54,DA,5574.0,7.971,34.35,,18.605
GJ 3031,Gaia EDR3 385105360675267840,00 22 14.92,42 36 37.82,DC,5572.27299,7.578325,34.49,,
Gaia DR2 4154063678315488640,Gaia EDR3 4154063678315488640,18 23 47.50,-11 23 47.92,DA,5560.0,8.01,36.08,,
Gaia DR2 330661599315957504,Gaia EDR3 330661599315957504,02 08 09.24,37 29 38.13,DA,5557.64374,8.496144,33.04,,
LAWD 42,Gaia EDR3 5784295623056963200,12 44 50.17,-80 09 22.23,DC,5550.0,7.88,21.37,16.18,
NLTT 1450,Gaia EDR3 2555215995900584448,00 27 36.92,05 41 58.90,DA,5539.28538,7.938186,21.68,16.15,17.547
Gaia DR2 3783206210217512320,Gaia EDR3 3783206210217512320,11 19 13.20,-08 31 36.78,DA,5530.0,8.04,30.28,,
EGGR 353,Gaia EDR3 863131372427958912,11 45 44.09,63 05 53.64,DA,5524.0,7.928,24.01,,17.854
Gaia DR2 529594417061837824,Gaia EDR3 529594417061837824,00 24 51.57,68 34 47.22,DC,5517.6978,8.195947,36.03,,
2MASS J23095848+5506491,Gaia EDR3 1996725077535283200,23 09 59.29,55 06 50.20,DA,5517.44761,8.104933,16.42,,
LP 815-31,Gaia EDR3 6862687522250677376,20 31 09.36,-16 58 40.89,DAZ,5506.0,7.926,22.82,16.28,
HD 283750B,Gaia EDR3 151650935831913216,04 36 45.17,27 09 49.15,DA,5505.1017,8.014662,17.40,15.79,
WD 1658+445,Gaia EDR3 1358325021299899136,16 59 35.48,44 25 39.51,DA,5504.0,7.927,28.50,,18.275
Gaia DR2 6853523539508720000,Gaia EDR3 6853523539508720000,20 12 16.10,-22 10 22.55,DC,5500.0,8.12,35.60,,
LP 426-49,Gaia EDR3 684598618544000384,09 02 08.48,20 10 46.30,DQ,5499.0,8.224,38.28,,18.947
Gaia DR2 2568588664341691520,Gaia EDR3 2568588664341691520,01 42 58.14,07 30 45.77,DA,5495.37115,8.009099,39.80,,19.002
Gaia DR2 1146403741412820864,Gaia EDR3 1146403741412820864,10 22 01.37,82 43 07.01,DA,5490.0,8.32,39.82,,
WD 1238+183,Gaia EDR3 3935942939548822272,12 40 29.83,18 07 27.18,DA,5474.0,8.029,39.43,,19.2
Gaia DR2 6874124023727679104,Gaia EDR3 6874124023727679104,20 08 51.03,-16 19 44.20,DC,5470.0,8.28,38.44,17.75,
Gaia DR2 1042071701528617856,Gaia EDR3 1042071701528617856,08 45 15.56,61 17 04.67,DA,5465.66433,8.015126,35.00,,18.849
GJ 3162,Gaia EDR3 5146358426863612160,02 32 37.95,-14 12 02.68,DA,5465.0,8.034,16.67,15.77,
Gaia DR2 190802650815160960,Gaia EDR3 190802650815160960,05 30 25.95,39 39 15.18,DA,5451.77196,7.920136,33.86,,
Gaia DR2 4257063458004688896,WDJ182951.89-053623.17,18 29 52.01,-05 36 21.37,DA,5450.0,7.97,39.63,,
WD 1741+436,Gaia EDR3 1349256249394224128,17 42 48.46,43 38 05.81,DA,5444.0,7.99,31.39,,18.68
LP 410-67,Gaia EDR3 81606375784491520,02 37 59.11,16 38 07.97,DC,5426.96545,8.0365,31.91,,
GJ 3259,Gaia EDR3 3301319572621418368,04 00 26.29,08 14 00.62,DA,5426.59,7.916668,18.60,15.887,
WD 1230+063,Gaia EDR3 3708578473389974528,12 33 22.36,06 07 05.36,DA,5400.0,8.256,38.14,,19.601
NLTT 18922,Gaia EDR3 3145802036649641472,08 05 27.49,07 35 29.57,DA,5397.0,8.135,34.38,,19.21
GJ 3329,Gaia EDR3 2982808337003815040,05 05 52.65,-17 22 32.86,DAH,5390.0,7.909,19.35,15.97,
2MASS J13002125+0130453,Gaia EDR3 3690395231125833600,13 00 20.86,01 30 47.71,DA,5385.0,7.992,35.97,,19.105
Gaia DR2 2199371701965748992,Gaia EDR3 2199371701965748992,22 00 52.63,58 22 01.90,DA,5379.04866,7.937614,38.04,,
WD 1755+408,Gaia EDR3 4611543459874840832,17 57 04.49,40 52 54.64,DC,5378.06688,8.020407,30.96,,18.492
LP 717-1,Gaia EDR3 2986577153625081344,05 08 19.16,-14 50 31.73,DQpec,5375.0,7.906,34.65,,
2MASS J06322939+2230050,Gaia EDR3 3382277296672027136,06 32 29.20,22 30 02.10,DA,5369.12663,7.910026,37.19,,
G 134-22,Gaia EDR3 351429930856782464,02 16 59.27,42 57 55.90,DA,5363.05298,7.982326,20.53,16.21,
LSR J1945+4650A,Gaia EDR3 2080526555267050496,19 45 29.65,46 50 09.05,DA,5360.56472,8.113526,28.81,,
EGGR 489,Gaia EDR3 1602197696772907648,15 25 42.81,56 29 06.27,DC,5360.47943,7.795918,32.22,,18.408
WD 1756+143,Gaia EDR3 4499839473701254400,17 58 22.00,14 17 28.77,DA,5350.88658,7.934605,21.31,16.27,
Gaia DR2 1282448170543051520,Gaia EDR3 1282448170543051520,14 45 28.02,29 21 24.40,DA,5350.13876,7.940245,38.42,,19.216
Gaia DR2 2410908771246898176,Gaia EDR3 2410908771246898176,22 53 36.35,-14 38 28.73,DC?,5349.0,8.115,36.56,,
Gaia DR2 1140292479690791296,Gaia EDR3 1140292483988569856,07 03 56.70,78 05 02.78,DA,5341.15345,7.857719,24.09,16.46,
Gaia DR2 6246049446837287680,Gaia EDR3 6246049446837287680,16 19 16.13,-18 31 13.10,DA,5340.0,8.34,38.42,,
WD 0315-293,Gaia EDR3 5058635403471767680,03 17 12.31,-29 11 41.72,DAZ,5340.0,,31.50,17.49,
WD 2057-493,Gaia EDR3 6478328218869704192,21 01 04.73,-49 06 27.89,DA,5320.0,8.09,13.34,15.48,
WD 2253+812,Gaia EDR3 2286958798223194624,22 53 39.58,81 30 41.82,DC,5294.05892,8.148726,37.51,17.3,
WD 2228+151,Gaia EDR3 2736054627915080448,22 30 56.16,15 23 56.88,DA,5292.0,8.123,38.53,,19.612
2MASS J22103453+4532401,Gaia EDR3 1962707287281651712,22 10 34.33,45 32 34.32,DC,5290.0,7.854,35.90,,
LSPM J1916+8044,Gaia EDR3 2295446546953958272,19 16 47.59,80 44 32.71,DA,5286.32493,8.061434,35.42,,
Gaia DR2 1385719147346936064,Gaia EDR3 1385719147346936064,16 13 30.42,44 28 00.23,DA,5281.89703,7.997404,30.34,,24.635
GJ 3223,Gaia EDR3 3261591090771914240,03 25 11.30,-01 49 28.95,DAZH,5280.0,8.123,16.93,16.13,
Gaia DR2 2531326283993100416,Gaia EDR3 2531326283993100416,01 04 16.48,-03 50 26.59,DA,5280.0,8.29,35.59,17.55,19.772
Gaia DR2 3059515898856688000,Gaia EDR3 3059515898856688000,07 12 06.08,-04 28 12.00,DA,5280.0,8.06,36.27,,
WD 0108+277,Gaia EDR3 307323228064848512,01 10 44.50,27 58 13.24,DA,5270.0,8.36,38.01,16.15,
GJ 2012,J0041-2221,00 41 25.49,-22 21 08.40,DQ,5262.0,7.907,9.10,14.49,15.766
NLTT 48779,Gaia EDR3 2237893023118101504,20 06 55.26,61 43 07.67,DA,5250.00412,7.344608,33.32,,18.16
GJ 3768,Gaia EDR3 1726678630833373824,13 08 43.84,85 02 24.15,DAP,5240.77366,8.073061,16.47,15.99,
Gaia DR2 6912866381081015552,Gaia EDR3 6912866381081015552,21 08 54.87,-03 12 05.72,DC,5230.0,7.93,35.05,,18.973
WD 1339-340,Gaia EDR3 6165095738576250624,13 41 59.91,-34 15 01.09,DA,5230.0,7.99,20.78,16.45,
EGGR 517,Gaia EDR3 372111985092019840,01 24 22.54,40 23 56.04,DA,5227.0,8.087,27.05,17.12,18.934
WD 1208+076,Gaia EDR3 3904628406009296896,12 11 18.75,07 24 44.52,DA,5222.0,7.925,25.31,16.53,18.51
NLTT 22727,Gaia EDR3 616396182856185728,09 50 21.73,15 09 04.74,DC,5221.28969,7.875099,39.21,,19.14
WD 2152-280,Gaia EDR3 6617996741403360128,21 55 00.82,-27 50 35.53,DC,5220.0,7.846,23.51,16.26,
NLTT 57507,Gaia EDR3 2826254713186397440,23 38 56.63,21 01 21.12,DA,5216.0,7.992,39.42,,19.622
LHS 1219,Gaia EDR3 2533575369771883648,01 15 05.28,-01 33 15.95,DA,5215.0,8.059,34.00,17.59,19.322
LP 676-58,Gaia EDR3 3629758603668233728,13 04 46.07,-05 28 37.65,DA,5215.0,8.024,29.11,17.12,
LP 777-3,Gaia EDR3 2986473765172532864,05 08 36.66,-15 23 03.12,DA,5215.0,8.068,37.44,17.717,
EGGR 462,Gaia EDR3 2790494815860044544,01 04 56.23,21 19 51.98,DA,5210.15399,8.337053,32.62,17.95,19.617
WD 1235+422,Gaia EDR3 1534384148897669248,12 37 51.73,41 56 30.25,DQP,5207.87968,7.800359,36.09,,17.81799
Gaia DR2 885100916128136064,Gaia EDR3 885100916128136064,07 22 05.85,28 06 26.06,DA,5196.13123,8.028445,36.44,,
GJ 1221,Gaia EDR3 1638979384378696704,17 48 03.87,70 52 53.67,DXP,5177.33932,8.09123,6.21,14.15,
LP 890-39,Gaia EDR3 4891567154251463680,04 33 34.07,-27 53 24.96,DC,5170.0,8.046,23.23,16.8,
NLTT 44063,Gaia EDR3 4444590625015876864,17 02 46.34,10 22 45.03,DA,5169.0,8.419,29.32,,19.81
Gaia DR2 4484277256704949376,Gaia EDR3 4484277256704949376,18 24 17.77,12 09 41.19,DA,5161.50515,8.054227,32.81,,
Gaia DR2 933287876501371520,Gaia EDR3 933287876501371520,08 01 31.69,48 52 52.62,DA,5161.0,7.944,35.83,,19.47
2MASS J04325585-3557289,Gaia EDR3 4867574023826934272,04 32 56.26,-35 57 28.38,DA,5153.0,8.0,26.30,17.03,
WD 2309+129,Gaia EDR3 2812250821990695936,23 12 05.95,13 10 54.00,DA:,5152.0,7.93,31.97,,19.234
2MASS J10480182+6334487,Gaia EDR3 1055313016981775488,10 48 01.22,63 34 46.55,DA,5151.0,7.95,34.34,,19.426
2MASS J21220558-3838347,Gaia EDR3 6583325635088476544,21 22 05.82,-38 38 35.71,DC,5150.0,7.86,23.39,16.57,
NLTT 47202,Gaia EDR3 2292861388958880640,18 51 07.01,77 38 36.44,DC,5145.14669,7.930705,30.45,,19.07
GJ 1098,Gaia EDR3 1089400763661597440,07 33 30.98,64 09 23.31,DAP,5126.4521,7.818318,19.97,16.22,
NLTT 7194,Gaia EDR3 522115156720215040,02 11 48.72,71 19 10.42,DC,5125.2097,8.053393,26.96,,19.04
WD 0004+122,Gaia EDR3 2766234439302571904,00 07 20.94,12 30 17.44,DC,5116.76667,8.211452,17.46,,18.15
GJ 3529,Gaia EDR3 1123700235048742016,09 05 31.68,73 14 47.38,DC,5106.35034,7.964319,25.67,,
NLTT 52166,Gaia EDR3 2696628687474414208,21 49 13.63,04 15 46.83,DA,5106.0,7.316,35.10,,18.7
NLTT 40234,Gaia EDR3 1273685372108354176,15 26 21.16,29 36 25.44,DA,5102.0,7.937,23.21,17.18,18.64
Gaia DR2 2202703050401536000,Gaia EDR3 2202703050401536000,21 51 39.93,59 17 34.55,DAH,5095.37478,7.979122,8.46,,
Gaia DR2 439905192004402304,Gaia EDR3 439905192004402304,03 08 50.61,51 28 19.49,DA,5090.75016,7.923787,36.75,,
LHS 2559,Gaia EDR3 1518943638389520384,12 26 34.71,35 13 09.88,DA,5089.0,7.806,34.92,,19.39
WD 1939+662,Gaia EDR3 2248748668919802496,19 39 56.04,66 19 01.96,DC,5074.08057,8.135689,35.20,,
WD 0909+200,Gaia EDR3 636732410620758016,09 12 44.94,19 51 52.38,DA,5073.0,8.04,33.95,,19.688
Gaia DR2 6865904860773722496,Gaia EDR3 6865904860773722496,20 06 32.24,-21 01 42.27,DA,5070.0,7.9,39.09,,
Gaia DR2 244214799689691904,Gaia EDR3 244214799689691904,03 55 56.53,45 25 06.05,DA,5061.60534,7.904663,31.47,,
WD 0821-669,Gaia EDR3 5272690766709543680,08 21 25.61,-67 03 09.46,DA,5060.0,8.12,10.68,15.34,
Gaia DR2 2078430778727685632,Gaia EDR3 2078430778727685632,19 51 18.99,42 09 39.30,DA,5053.61249,8.017583,38.42,,
LHS 1233,Gaia EDR3 2456160271800004096,01 19 31.91,-14 15 36.12,DA,5050.0,7.905,25.40,16.96,
2MASS J04010150+5131304,Gaia EDR3 250862824946594816,04 01 02.14,51 31 17.24,DC,5049.01699,8.221199,25.10,,19.34
Gaia DR2 4126670518631322880,Gaia EDR3 4126670518631322880,16 49 51.17,-21 55 04.78,DA,5040.0,7.94,36.77,,
2MASS J06503681+1657538,Gaia EDR3 3358418684623972864,06 50 36.60,16 57 50.83,DA,5034.31886,8.026335,29.19,,
WD 1411-362,Gaia EDR3 6118079453145005312,14 14 21.26,-36 30 24.48,DA,5030.0,8.0,35.18,17.86,
